article_id,title,paragraph,model_name,answer_1,answer_2,answer_3,comments,question_1,question_2,question_3,non_answer,correct_answer_1,correct_answer_2,correct_answer_3,correct_count,is_correct_answer_1,is_correct_answer_2,is_correct_answer_3,non_answer_1,non_answer_2,non_answer_3,all_options_1,all_options_2,all_options_3,para_id,Model
11,Insects Could be the Planets Next Food Source,"Crunchy, full of protein and to be found under a rock near you. Insects have long been overlooked as food in all but a handful of places around the world. Now they are crawling closer and closer to our plates. Spring 2013 will see a drive toward removing the yuck factor and putting insects on experimental menus. It will also focus on supermarket shelves. In April, there will be a festival in London, England. The festival is called Pestival 2013 – a Wellcome Trust-backed insect appreciation event. It will have a two-day “pop-up” restaurant by the Nordic Food Lab. It is the Scandinavian team behind the Danish restaurant Noma. It brought ants to the table for a sellout time run at Claridge’s hotel in London in 2012.",control-sup-grade5,The question or the answer options are not supported by the passage.,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,A Scandinavian team’s food that includes insects,"
",What will happen in spring 2013?,Why does the author mention the Danish restaurant Noma?,Which of the following will be featured at Pestival 2013?,1,A campaign to make people comfortable eating insects,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,A Scandinavian team’s food that includes insects,2,False,True,True,True,False,False,"['A campaign to make people comfortable eating insects', 'Supermarkets will offer free insect tastings', 'Claridge’s hotel will serve insect dishes', 'A study will be conducted to assess the nutritional value of insects']","['To inform about the Nordic Food Lab’s pop-up restaurant at Pestival', 'To show how popular Nordic food is in London restaurants', 'As evidence that insects are an important aspect of people’s diets in other parts of the world', 'As evidence that Danish restaurants are popular']","['A Scandinavian team’s food that includes insects', 'Insect dishes from a London-based hotel', 'Grocery store stands with insect tastings', 'Gift bags with insect-themed items']",1,ControlSup-Grade5
1,A New Form of Lie Detector Test,"For almost 100 years, police and intelligence agencies around the world have used polygraphs as lie detectors. They have helped to find spies and traitors. The polygraph is very popular in the movies, with many scenes showing the guilty sweating profusely as they are hooked up. However, the invention may soon end. Researchers in Britain and the Netherlands have made a breakthrough. They have developed a method that has a success rate of over 70%. It could be used in police stations around the world. Rather than relying on facial tics, talking too much or waving of arms - all seen as signs of lying - the new method involves watching full-body movements to find signs of guilt.",muss_bart_sup_out,The question or the answer options are not supported by the passage.,Motions in the entire body,The question or the answer options are not supported by the passage.,"This is a very interesting read , I would like o know more about this new method in great detail , because so far with the information provided the new method does not sound to be any different than polygraph test , and also the accuracy level (Over 70%) is not too convincing.
",When is the new lie detection method expected to work with over 70% accuracy?,What does the new method of lie detection monitor that the polygraph does not?,When are police stations expected to start using the new lie detection method?,2,It has already achieved this accuracy level in tests,Motions in the entire body,Within 10 years,1,False,True,False,True,False,True,"['It has already achieved this accuracy level in tests', 'Within ten years', 'Once it is modified to monitor movements of the entire body', 'It is currently not known']","['Motions in the entire body', 'Talking too much and arm waving', 'Body responses to statements about events within a period of ten years', 'Body temperature']","['Within 10 years', 'Once it reaches an accuracy of at least 70%', 'Once it is able to track the movements of the entire body', 'It is already in use in many police stations']",1,MUSS-SUP
12,Japan Calls Time on Long Hours Work Culture,"The regulation eight hours in the office is over. The most important work of the day is done; whatever is left can wait until the morning. This is the point many workers would think about heading for the door. Yet, for millions of Japanese employees, the thought of clearing away their desks and being at home in time for dinner is enough to invite accusations of disloyalty to the company. But, after decades of giving companies carte blanche to milk every last drop of productivity from their workforce, a challenge to Japan’s ingrained culture of overwork has come from the government, which is considering making it a legal requirement for workers to take at least five days’ paid holiday a year.",Adv,They arrived home before dinner time,Take more days off,The government,"
",Why would someone be considered disloyal to their company in Japan?,What does the Japanese government want workers to do now?,Who or what is driving the change in Japanese work habits?,0,They arrived home before dinner time,Take more days off,The government,3,True,True,True,False,False,False,"['They arrived home before dinner time', 'They ate dinner at work', 'They took more than five days off', 'They revealed trade secrets']","['Take more days off', 'Not work during national holidays', 'Be home in time for dinner', 'Not work after-hours']","['The government', 'The culture', 'Disloyal workers', 'Western Europe']",1,Original
20,Rwandan Women Whip up Popular Ice Cream Business,"From all across Rwanda. Even parts of neighboring Burundi, people flock to the southern town of Butare to a little shop called Inzozi Nziza (Sweet Dream). They come for a taste of the unknown something most have never tasted. The sweet cold velvety taste like ice cream. Here is the first ice-cream creor, customers can buy scoops in sweet cream. They love fruit strawberry and pineapple flavors. Toppings include fresh fruit honey chocolate chips and granola. Black tea and coffee are also on sale.",control-editnar-grade5,Butare,Beverages,Inzozi Nziza,"
",Where is the ice cream shop located?,"What can customers buy at the ice cream shop, other than ice cream?",Where is one place where people come to the ice cream shop from?,0,Butare,Beverages,Burundi,2,True,True,False,False,False,False,"['Butare', 'Burundi', 'Near a popular tea and coffee shop', 'The capital Kigali']","['Beverages', 'Passion fruit', 'Traditional Butare sweets', 'Frozen yogurt']","['Burundi', 'Inzozi Nziza', 'South Africa', 'Uganda']",1,EditCL-Grade5
19,Philip Pullman Illegal Downloading Is Moral Squalor,"Author Philip Pullman believes that illegally downloading copyrighted material is equivalent to stealing from someone's wallet. In an article for Index on Censorship, Pullman, who is the president of the Society of Authors, strongly supports copyright laws and criticizes internet users who believe it is acceptable to download music or books without paying for them.",chatgpt_out,The “Index on Censorship”,He disapproves of people who are OK with pirating,People who think it’s alright to download books without paying for them,"
",Where does Philip Pullman hold a senior position?,What does Pullman think about pirating?,Who does Pullman criticize?,0,The “Society of Authors”,He disapproves of people who are OK with pirating,People who think it’s alright to download books without paying for them,2,False,True,True,False,False,False,"['The “Society of Authors”', 'The “Index on Censorship”', 'The “Association Against Illegal Downloading”', 'The “Arts Union”']","['He disapproves of people who are OK with pirating', 'He thinks it is only OK to download music or books without paying for them if it is done infrequently', 'He believes it is a robust defense against copyright laws', 'He thinks it depends on the user’s financial situation']","['People who think it’s alright to download books without paying for them', 'People who post music or books online to places where other people can access them without paying', 'People who don’t defend copyright laws', 'Websites that support illegal downloading']",1,ChatGPT
24,The Secrets of the Mystery Shopper,"There are about 50,000 mystery shopping trips every month in the UK, according to the Mystery Shopping Providers Association. Mystery shoppers pretend to be a customer in a store but they are really collecting information on how good or bad its service is. The demand for mystery shoppers is growing because online shopping is becoming more popular. “Retailers are becoming increasingly aware that shoppers who visit a physical store want a service and an experience they can’t get online,” says Simon Boydell, spokesman for Marketforce, which has more than 300,000 mystery shoppers. “Our clients want to know how well their stores are delivering on that experience.”",Ele,The rise in popularity of online shopping,To assess the shopping experience in their stores,"300,000 mystery shoppers","
",Which factor has been contributing to the increasing demand for mystery shoppers?,Why do retailers hire the services of Marketforce?,Who are the clients of Marketforce?,0,The rise in popularity of online shopping,To assess the shopping experience in their stores,Retailers,2,True,True,False,False,False,False,"['The rise in popularity of online shopping', 'The increase in in-store shopping', 'The activity of companies like Marketforce', 'The success of reality TV shows about mystery shoppers']","['To assess the shopping experience in their stores', 'To improve the quality of their online services', 'To collect information on the service quality of competing retailers', 'To find new employees to hire']","['Retailers', '300,000 mystery shoppers', 'Mystery Shopping Providers Associations', 'Advertisers']",1,Elementary
12,Japan Calls Time on Long Hours Work Culture,"The eight hours at work has come to an end. The important work is done, and anything left can be done in the morning. This is the point many employees would consider going for the door. But for millions of Japanese, the idea of getting rid of their desks and getting home in time for dinner is enough to invite charges of company disloyalty. But after decades of allowing companies to milk every last drop of productivity from their workers, the government has taken up a challenge to Japan's overwork culture. It is considering making it a legal requirement that employees take at least five days of paid holiday a year.",muss_bart_unsup_out,They arrived home before dinner time,Take more days off,The government,"
",Why would someone be considered disloyal to their company in Japan?,What does the Japanese government want workers to do now?,Who or what is driving the change in Japanese work habits?,0,They arrived home before dinner time,Take more days off,The government,3,True,True,True,False,False,False,"['They arrived home before dinner time', 'They ate dinner at work', 'They took more than five days off', 'They revealed trade secrets']","['Take more days off', 'Not work during national holidays', 'Be home in time for dinner', 'Not work after-hours']","['The government', 'The culture', 'Disloyal workers', 'Western Europe']",1,MUSS-Unsup
14,Love Hormone Helps Autistic Children Bond with Others,"A nasal spray laced with the '' Love hormone '' oxytocin could help children with autism learn how to deal with social situations better. Scans of children with autistic spectrum disorder showed that a single dose of the chemical made the brain respond better to facial expressions. This could make social interactions feel more natural and fun for the children. The scientists behind the research said a course of oxytocin might make behavioral therapies that are already used to help people with autism learn how to deal with social situations easier. Over time, what you would expect to see is more good social responding, being more interested in interacting with other people, more eye contact, and more ability to talk, said Kevin Pelphrey, a researcher at Yale University.",t5_base_wiki_output_turk,Improved responses to faces,It can enhance the effectiveness of current treatments,"Yes, it can be combined with existing treatments","
","What difference did oxytocin make to the brains of autistic children, as shown in brain scans?","How can oxytocin be used for people with autism, according to the researchers?",Do the researchers expect oxytocin to interact well with other treatments?,0,Improved responses to faces,It can enhance the effectiveness of current treatments,"Yes, it can be combined with existing treatments",3,True,True,True,False,False,False,"['Improved responses to faces', 'Improved flow of chemicals in the brain', 'Increased responses to conversation', 'Increased activity when solving math problems']","['It can enhance the effectiveness of current treatments', 'It can effectively replace current treatments', 'It can help children like Kevin Pelphrey go to school more regularly', 'It can reduce their anxiety levels']","['Yes, it can be combined with existing treatments', 'No, oxytocin will not be effective if other treatments are used', 'Yes, if the patient already has normal social responses', 'The researchers think it is too early to know']",1,ControlT5-Wiki
3,Bangladeshi Organization Delivers a Lesson on Ending Child Labor,"The small space is set up to look like a classroom. Its corrugated iron walls are hung with educational charts – illustrated letters of the alphabet and a map of Bangladesh. But, the sound of hammering and the chemicals in the air that catch in the back of the throat makes it hard to concentrate. The children who learn in this three-meter room are the lucky ones. They have escaped working in the factories opposite.",control-sup-grade5,A map of a country,They do not work in factories nearby,Children who study in a tiny classroom,"
",What is depicted on the walls?,Why are the people in the room lucky?,Which children are referred to as “lucky”?,0,A map of a country,They do not work in factories nearby,Children who study in a tiny classroom,3,True,True,True,False,False,False,"['A map of a country', 'Letters from several languages', 'Images of factory workers', 'Portraits of historical figures']","['They do not work in factories nearby', 'They no longer need to study in a three-square-meter room', 'They are not exposed to harmful chemicals in the air', 'Their parents can afford sending them to a private school']","['Children who study in a tiny classroom', 'Children who found jobs after finishing school', 'Children who are able to concentrate', 'Children whose parents have jobs']",1,ControlSup-Grade5
14,Love Hormone Helps Autistic Children Bond with Others,"nasal spray laced with the ‘Love hormone’ oxytocin could help children with autism learn to handle social situations better, US researchers claim. Scans of children with autistic spectrum disorder showed that a single dose of the chemical improved brain responses to facial expressions, a shift that could make social interactions feel more natural and rewarding for them. The scientists behind the research said a course of oxytocin might boost the success of behavioral therapies that are already used to help people with autism learn to cope with social situations. “Over time, what you would expect to see is more appropriate social responding, being more interested in interacting with other people, more eye contact and more conversational ability,” said Kevin Pelphrey, director of the Child Neuroscience Lab at Yale University.",Adv,Increased responses to conversation,The question or the answer options are not supported by the passage.,The question or the answer options are not supported by the passage.,"
","What difference did oxytocin make to the brains of autistic children, as shown in brain scans?","How can oxytocin be used for people with autism, according to the researchers?",Do the researchers expect oxytocin to interact well with other treatments?,2,Improved responses to faces,It can enhance the effectiveness of current treatments,"Yes, it can be combined with existing treatments",0,False,False,False,False,True,True,"['Improved responses to faces', 'Improved flow of chemicals in the brain', 'Increased responses to conversation', 'Increased activity when solving math problems']","['It can enhance the effectiveness of current treatments', 'It can effectively replace current treatments', 'It can help children like Kevin Pelphrey go to school more regularly', 'It can reduce their anxiety levels']","['Yes, it can be combined with existing treatments', 'No, oxytocin will not be effective if other treatments are used', 'Yes, if the patient already has normal social responses', 'The researchers think it is too early to know']",1,Original
12,Japan Calls Time on Long Hours Work Culture,"The rule of eight hours in the office is over. The most important work of the day is done. What is left can be done in the morning. This is the point many people would think about going to the store. Yet, for millions of Japanese employees, the thought of going away their desks and being at home in time for dinner is enough to make people think that they are not nice to the company. But, after years of giving companies carte blanche to milk every last drop of productivity from their workers, a challenge to Japan's culture of overwork has come from the government. The government wants to make it a legal requirement for workers to take at least five days'paid holiday a year.",t5_base_wiki_output_turk,They arrived home before dinner time,Take more days off,The government,"
",Why would someone be considered disloyal to their company in Japan?,What does the Japanese government want workers to do now?,Who or what is driving the change in Japanese work habits?,0,They arrived home before dinner time,Take more days off,The government,3,True,True,True,False,False,False,"['They arrived home before dinner time', 'They ate dinner at work', 'They took more than five days off', 'They revealed trade secrets']","['Take more days off', 'Not work during national holidays', 'Be home in time for dinner', 'Not work after-hours']","['The government', 'The culture', 'Disloyal workers', 'Western Europe']",1,ControlT5-Wiki
20,Rwandan Women Whip up Popular Ice Cream Business,"From all across Rwanda, and even parts of neighboring Burundi, people flock to the southern town of Butare to a little shop called Inzozi Nziza (Sweet Dreams). They come for a taste of the unknown, something most have never tasted – the sweet, cold, velvety embrace of ice cream. Here, at the central African country’s first ice-cream parlor, customers can buy scoops in sweet cream, passion fruit, strawberry and pineapple flavors. Toppings include fresh fruit, honey, chocolate chips and granola. Black tea and coffee are also on sale.",Adv,Butare,Beverages,Burundi,"
",Where is the ice cream shop located?,"What can customers buy at the ice cream shop, other than ice cream?",Where is one place where people come to the ice cream shop from?,0,Butare,Beverages,Burundi,3,True,True,True,False,False,False,"['Butare', 'Burundi', 'Near a popular tea and coffee shop', 'The capital Kigali']","['Beverages', 'Passion fruit', 'Traditional Butare sweets', 'Frozen yogurt']","['Burundi', 'Inzozi Nziza', 'South Africa', 'Uganda']",1,Original
20,Rwandan Women Whip up Popular Ice Cream Business,"From all across Rwanda, people flock to the southern town of Butare to a little shop called Inzozi Nziza. They come for a taste of the unknown, something most have never tasted — the sweet, cold, velvety embrace of ice cream. At the central African country’s first ice-cream parlor, customers can buy scoops in sweet cream. They can love fruit, strawberry and pineapple flavors. Toppings include fresh fruit, honey, chocolate chips and granola. Black tea and coffee are also on sale.",control-sup-grade5,Butare,Beverages,South Africa,"
",Where is the ice cream shop located?,"What can customers buy at the ice cream shop, other than ice cream?",Where is one place where people come to the ice cream shop from?,0,Butare,Beverages,Burundi,2,True,True,False,False,False,False,"['Butare', 'Burundi', 'Near a popular tea and coffee shop', 'The capital Kigali']","['Beverages', 'Passion fruit', 'Traditional Butare sweets', 'Frozen yogurt']","['Burundi', 'Inzozi Nziza', 'South Africa', 'Uganda']",1,ControlSup-Grade5
4,Bolivians Demand the Right to Chew Coca Leaves,"Major international dispute has broken out over the right of Bolivia’s indigenous tribes to chew coca leaves, the principal ingredient in cocaine. Bolivia has obtained a special exemption from the 1961 Single Convention on narcotic drugs, which governs drug use by indigenous people, allowing them to buy and use the drug at will.",kis_output_default,Regulating international policy on drugs,Bolivia does not allow the consumption of dangerous drugs,Anyone who is considered to be indigenous,"I don't know what to say
",What was the purpose of the 1961 Convention on Drugs?,What does Bolivia’s constitution say?,Who is currently permitted to consume coca in Bolivia?,0,Regulating international policy on drugs,That coca should be protected,Anyone who is considered to be indigenous,2,True,False,True,False,False,False,"['Regulating international policy on drugs', 'Discussing whether indigenous people in Bolivia should be allowed to chew coca leaves', 'Discussing the legal status of Bolivia’s constitution', 'Negotiating extradition agreements for drug traffickers']","['That coca should be protected', 'Bolivia does not allow the consumption of dangerous drugs', 'That it accepts the decisions of the 1961 Convention on Drugs', 'That consumption of drugs, but not their distribution, is legal']","['Anyone who is considered to be indigenous', 'Anyone who received a special exemption from the Bolivian government', 'Anyone who uses it in its natural state', 'Anyone who uses it recreationally']",1,KIS
